line_id,order_id,prd_id,quantity,unit_price,discount_pct
LINE0000001,ORD1000001,SKU10163,1,346.47,0
LINE0000002,ORD1000002,SKU10212,3,4132.65,0.05
LINE0000003,ORD1000003,SKU10403,2,84.29,0.1
LINE0000004,ORD1000004,SKU10395,7,1175.88,0.05
LINE0000005,ORD1000004,SKU10583,4,37.52,0.15
LINE0000006,ORD1000005,SKU10485,5,2029.69,0.05
LINE0000007,ORD1000005,SKU10376,7,3290.29,0
LINE0000008,ORD1000006,SKU10230,2,2444.69,0
LINE0000009,ORD1000007,SKU10426,5,3705.33,0.1
LINE0000010,ORD1000007,SKU10214,7,2692.29,0.15
LINE0000011,ORD1000008,SKU10178,3,81.88,0
LINE0000012,ORD1000008,SKU10295,3,3621.16,0.1
LINE0000013,ORD1000009,SKU10040,1,437.25,0
LINE0000014,ORD1000010,SKU10059,2,2201.53,0.05
LINE0000015,ORD1000010,SKU10272,2,4239.31,0.05
LINE0000016,ORD1000011,SKU10345,7,310.99,0.15
LINE0000017,ORD1000012,SKU10280,4,790.28,0.05
LINE0000018,ORD1000013,SKU10035,6,609.96,0.05
LINE0000019,ORD1000013,SKU10372,5,3868.52,0.1
LINE0000020,ORD1000014,SKU10456,3,1234.99,0.1
LINE0000021,ORD1000014,SKU10444,6,213.53,0.15
LINE0000022,ORD1000015,SKU10176,1,1215.97,0
LINE0000023,ORD1000016,SKU10475,2,2790.75,0.05
LINE0000024,ORD1000017,SKU10110,4,1921.11,0.15
LINE0000025,ORD1000018,SKU10470,3,3898.66,0.15
LINE0000026,ORD1000019,SKU10208,5,3357.81,0
LINE0000027,ORD1000020,SKU10148,6,3522.85,0.1
LINE0000028,ORD1000021,SKU10099,7,2776.27,0
LINE0000029,ORD1000022,SKU10384,2,3075.24,0.15
LINE0000030,ORD1000023,SKU10593,1,608.49,0.15
LINE0000031,ORD1000023,SKU10559,1,2785.05,0.05
LINE0000032,ORD1000024,SKU10192,2,132.35,0.1
LINE0000033,ORD1000024,SKU10150,2,2555.08,0
LINE0000034,ORD1000025,SKU10165,7,2998.88,0.05
LINE0000035,ORD1000026,SKU10420,7,557.69,0.05
LINE0000036,ORD1000026,SKU10563,7,3397.97,0.15
LINE0000037,ORD1000026,SKU10435,2,602.59,0.05
LINE0000038,ORD1000027,SKU10468,5,427.17,0
LINE0000039,ORD1000027,SKU10047,2,2856.09,0.15
LINE0000040,ORD1000028,SKU10480,3,4289.14,0
