order_id,cst_id,order_date,warehouse_id,payment_method,order_status
ORD1000001,CUST102010,06/30/2024,WH003,Debit Card,Completed
ORD1000002,CUST100046,09/13/2024,WH005,GCash,Completed
ORD1000003,CUST100987,07/20/2025,WH004,Debit Card,Completed
ORD1000004,CUST103407,03/10/2025,WH005,Credit Card,Completed
ORD1000005,CUST103225,11/20/2024,WH002,Credit Card,Completed
ORD1000006,CUST102481,02/20/2024,WH005,GCash,Cancelled
ORD1000007,CUST101731,03/25/2024,WH006,Bank Transfer,Completed
ORD1000008,CUST101454,05/27/2024,WH002,Bank Transfer,Completed
ORD1000009,CUST101467,06/03/2024,WH002,Credit Card,Completed
ORD1000010,CUST102564,12/23/2024,WH001,Cash,Completed
ORD1000011,CUST100933,09/21/2025,WH002,Credit Card,Completed
ORD1000012, CUST101985 ,11/03/2024,WH008,Debit Card,Completed
ORD1000013,CUST102194,08/28/2024,WH001,gcash,Completed
ORD1000014,CUST102351,02/11/2025,WH002,,Completed
ORD1000015,CUST100581,02/25/2024,WH002,GCash,Completed
ORD1000016,CUST102885,06/15/2025,WH007,GCash,Completed
ORD1000017,CUST101518,02/10/2024,WH005,Debit Card,Completed
ORD1000018,CUST103277,09/14/2024,WH001,Debit Card,Completed
ORD1000019,CUST101553,11/26/2025,WH002,Bank Transfer,Pending
ORD1000020,CUST102789,10/22/2024,WH006,gcash,Completed
ORD1000021,CUST100391,06/29/2025,WH007,gcash,Completed
ORD1000022,CUST103136,07/17/2024,WH005,gcash,Completed
ORD1000023,CUST100095,09/14/2025,WH005,Bank Transfer,Completed
ORD1000024,CUST101987,09/04/2024,WH004,GCash,Completed
ORD1000025,CUST102619,06/14/2024,WH007,,Completed
ORD1000026,CUST101185,02/07/2024,WH003,Credit Card,Completed
ORD1000027,CUST103349,08/11/2024,WH008,gcash,Completed
ORD1000028,CUST102344,02/27/2025,WH007,,Completed
ORD1000029,CUST103159,02/16/2024,WH008,Credit Card,Completed
ORD1000030,CUST101947,05/06/2024,WH006,Cash,Completed
ORD1000031,CUST102474,09/10/2024,WH003,Cash,Completed
ORD1000032,CUST100197,06/06/2025,WH006,gcash,Completed
ORD1000033,CUST100231,03/11/2025,WH004,Cash,Completed
ORD1000034,CUST102016,01/31/2024,WH008,gcash,Completed
ORD1000035,CUST101301,01/27/2024,WH008,GCash,Completed
ORD1000036,CUST101461,02/13/2024,WH001,Cash,Completed
ORD1000037,CUST102151,08/29/2024,WH007,Debit Card,Completed
ORD1000038,CUST101294,07/26/2024,WH006,Cash,Completed
ORD1000039,CUST103487,2024/99/99,WH005,Debit Card,Completed
ORD1000040,CUST102536,11/16/2024,WH008,Debit Card,Completed
ORD1000041,CUST102115,03/07/2025,WH001,Bank Transfer,Completed
ORD1000042,CUST103098,05/21/2025,WH008,Cash,Cancelled
ORD1000043,CUST100084,12/27/2025,WH001,gcash,Cancelled
ORD1000044,CUST100690,05/20/2025,WH002,,Completed
ORD1000045,CUST102901,12/20/2025,WH006,Credit Card,Completed
ORD1000046,CUST102783,12/11/2025,WH007,,Completed
ORD1000047,CUST102043,09/10/2025,WH008,Bank Transfer,Completed
ORD1000048,CUST100594,09/13/2024,WH001,,Completed
ORD1000049,CUST101037,02/01/2024,WH007,Debit Card,Completed
ORD1000050,CUST102018,02/13/2024,WH006,,Returned
ORD1000051,CUST100296,09/27/2025,WH004,Bank Transfer,Completed
ORD1000052,CUST102969,09/20/2025,WH006,Credit Card,Completed
ORD1000053,CUST101156,08/13/2024,WH004,Bank Transfer,Completed
ORD1000054,CUST103171,06/17/2025,WH004,Bank Transfer,Completed
ORD1000055,CUST101870,11/27/2024,WH002,Cash,Completed
ORD1000056,CUST101080,02/19/2024,WH003,GCash,Completed
ORD1000057,CUST100145,04/22/2025,WH006,,Completed
ORD1000058,CUST102867,03/01/2024,WH002,Cash,Completed
ORD1000059,CUST102318,04/05/2024,WH007,,Returned
