warehouse_id,prd_id,stock_qty,reorder_level,last_stock_date
WH006,SKU10577,945,244,06/16/2026
WH002,SKU10539,570,298,12/15/2024
WH004,SKU10298,521,189,11/16/2024
WH008,SKU10060,588,258,03/09/2024
WH002,SKU10597,415,236,12/17/2024
WH004,SKU10095,950,252,08/07/2024
WH003,SKU10061,600,134,12/19/2024
WH002,SKU10247,636,165,07/13/2024
WH004,SKU10565,892,275,07/15/2024
WH005,SKU10480,-3,146,01/05/2026
WH001,SKU10216,315,189,04/19/2025
WH002,SKU10273,832,199,11/25/2025
WH007,SKU10037,91,71,07/30/2025
WH003,SKU10163,326,26,06/22/2025
WH003,SKU10403,159,214,04/11/2025
WH006,SKU10253,712,242,01/22/2025
WH006,SKU10588,843,183,09/19/2024
WH008,SKU10268,260,204,06/08/2026
WH002,SKU10509,685,38,02/13/2025
WH007,SKU10437,759,67,06/03/2026
WH006,SKU10305,905,226,02/07/2026
WH001,SKU10522,927,197,08/25/2025
WH008,SKU10523,452,75,04/22/2026
WH003,SKU10193,74,187,10/19/2025
WH004,SKU10168,743,29,03/26/2026
WH007,SKU10426,542,240,03/07/2026
WH005,SKU10017,456,27,10/07/2025
WH003,SKU10421,538,254,12/23/2025
WH003,SKU10262,642,82,03/28/2026
WH006,SKU10461,282,90,08/12/2024
WH002,SKU10079,324,279,05/26/2026
WH004,SKU10346,338,248,05/18/2025
WH006,SKU10322,490,114,05/02/2024
WH008,SKU10009,674,70,05/31/2024
WH007,SKU10315,37,50,01/20/2026
WH003,SKU10394,289,130,03/20/2026
WH002,SKU10244,726,182,10/16/2025
WH008,SKU10368,25,157,10/15/2025
WH005,SKU10196,794,271,05/15/2026
WH004,SKU10367,768,245,09/06/2026
WH008,SKU10147,315,92,04/11/2026
WH006,SKU10169,623,272,05/16/2024
WH004,SKU10043,487,149,03/13/2026
WH002,SKU10059,246,24,05/25/2025
WH001,SKU10081,145,258,03/09/2026
WH005,SKU10114,961,226,12/25/2025
WH001,SKU10432,858,119,11/08/2025
WH003,SKU10130,897,265,05/17/2026
WH006,SKU10214,136,273,05/31/2024
WH001,SKU10105,964,287,05/03/2026
WH008,SKU10255,624,275,12/13/2024
WH004,SKU10147,509,95,07/20/2024
WH007,SKU10198,338,176,12/21/2025
WH002,SKU10042,231,68,09/09/2026
WH004,SKU10303,321,210,03/28/2024
WH008,SKU10162,169,159,09/08/2026
WH006,SKU10391,788,266,12/08/2024
WH007,SKU10599,948,272,08/27/2026
WH006,SKU10292,966,109,02/19/2024
WH006,SKU10307,890,108,09/05/2025
WH003,SKU10499,127,28,06/18/2025
WH004,SKU10207,739,161,04/11/2026
WH001,SKU10085,857,127,04/16/2025
WH003,SKU10433,508,298,03/17/2024
WH001,SKU10390,555,248,07/02/2024
WH003,SKU10282,381,147,09/12/2024
WH006,SKU10233,821,178,05/21/2026
WH002,SKU10018,701,195,04/01/2024
WH004,SKU10335,627,272,04/19/2026
WH005,SKU10329,4,298,05/20/2025
WH002,SKU10310,960,137,07/19/2025
WH007,SKU10183,521,122,08/22/2026
WH007,SKU10092,955,219,02/06/2026
WH002,SKU10343,677,96,10/11/2025
WH001,SKU10373,518,59,04/04/2026
WH001,SKU10104,752,99,04/06/2025
WH003,SKU10073,242,108,07/20/2026
WH002,SKU10290,448,192,03/03/2026
WH001,SKU10029,20,225,09/03/2026
WH004,SKU10117,743,65,07/04/2025
WH005,SKU10382,320,32,10/04/2025
WH001,SKU10180,91,66,04/02/2025
WH005,SKU10277,795,275,07/14/2026
WH004,SKU10413,229,92,09/21/2025
WH002,SKU10107,219,167,06/07/2024
WH001,SKU10137,140,171,05/26/2025
WH007,SKU10179,601,97,05/13/2024
WH001,SKU10251,336,256,10/03/2025
WH002,SKU10336,568,38,11/30/2025
WH006,SKU10044,340,168,03/13/2026
WH006,SKU10285,752,135,06/02/2024
WH008,SKU10413,370,239,04/07/2025
WH001,SKU10511,791,75,12/20/2024
WH002,SKU10324,463,288,02/19/2025
WH006,SKU10376,9,241,07/28/2026
WH002,SKU10489,433,227,07/12/2025
WH004,SKU10437,241,158,03/19/2025
WH003,SKU10322,487,199,06/23/2026
WH007,SKU10340,120,78,06/15/2025
WH007,SKU10597,751,22,02/26/2025
WH007,SKU10455,622,228,06/24/2025
WH005,SKU10145,137,145,04/27/2026
WH004,SKU10273,978,118,03/28/2025
WH005,SKU10446,347,95,09/09/2025
WH001,SKU10314,205,193,06/27/2024
WH005,SKU10260,-5,163,01/13/2024
WH003,SKU10366,242,209,03/08/2024
WH008,SKU10226,23,286,04/21/2025
WH002,SKU10407,480,253,12/19/2025
WH001,SKU10439,604,109,07/29/2024
WH008,SKU10539,366,87,08/01/2026
WH002,SKU10574,875,65,05/30/2024
WH005,SKU10427,965,179,11/27/2025
WH004,SKU10454,302,251,08/22/2024
WH003,SKU10464,635,90,02/29/2024
WH004,SKU10199,398,297,12/13/2025
WH006,SKU10550,270,140,06/02/2025
WH001,SKU10306,205,238,09/19/2025
WH006,SKU10521,519,103,07/30/2026
WH008,SKU10131,138,58,06/20/2025
WH003,SKU10187,670,163,04/21/2026
WH006,SKU10373,883,174,05/10/2025
WH008,SKU10348,364,153,12/15/2024
WH008,SKU10242,569,133,01/24/2025
WH006,SKU10133,975,201,12/10/2024
WH008,SKU10137,703,197,06/05/2026
WH007,SKU10437,400,62,05/26/2025
WH005,SKU10013,881,207,07/21/2026
WH002,SKU10072,37,113,09/08/2024
WH007,SKU10556,586,245,02/03/2026
WH003,SKU10588,248,159,04/25/2024
WH006,SKU10048,176,87,10/15/2024
WH006,SKU10086,514,70,02/03/2024
WH003,SKU10198,711,290,07/02/2026
WH007,SKU10352,736,221,10/25/2024
WH006,SKU10115,746,80,03/30/2026
WH006,SKU10590,285,160,03/01/2025
WH008,SKU10297,411,54,05/04/2024
WH003,SKU10323,108,253,12/09/2024
WH007,SKU10117,614,252,12/07/2024
WH001,SKU10185,802,244,05/23/2025
WH006,SKU10442,481,149,11/23/2024
WH002,SKU10380,309,66,11/07/2025
WH002,SKU10135,329,157,12/31/2025
WH002,SKU10265,648,162,06/04/2024
WH007,SKU10112,670,109,06/07/2025
WH003,SKU10245,473,125,08/01/2025
WH004,SKU10131,243,32,09/23/2024
WH003,SKU10588,407,166,02/10/2026
WH005,SKU10179,324,74,08/18/2024
WH008,SKU10285,93,255,05/21/2026
WH006,SKU10386,402,233,04/02/2025
WH001,SKU10025,848,189,01/01/2025
WH005,SKU10126,612,82,10/27/2025
WH001,SKU10594,129,207,09/11/2025
WH002,SKU10419,851,297,05/23/2025
WH002,SKU10146,209,196,11/17/2025
WH006,SKU10259,612,240,09/18/2024
WH008,SKU10515,565,272,03/19/2026
WH002,SKU10119,724,257,09/11/2025
WH008,SKU10180,765,65,07/31/2024
WH003,SKU10145,289,264,09/25/2026
WH003,SKU10399,776,234,05/15/2026
WH002,SKU10317,585,221,06/25/2024
WH001,SKU10301,346,83,02/23/2026
WH005,SKU10228,99,150,06/12/2025
WH004,SKU10197,566,273,02/08/2026
WH001,SKU10309,460,276,01/10/2025
WH005,SKU10480,467,52,09/01/2024
WH003,SKU10488,688,139,08/06/2024
WH004,SKU10471,707,189,03/07/2024
WH008,SKU10028,175,46,05/25/2026
WH004,SKU10295,292,88,11/08/2024
WH004,SKU10237,901,187,08/15/2026
WH006,SKU10562,591,203,08/13/2024
WH008,SKU10250,414,49,12/16/2024
WH006,SKU10149,972,138,05/28/2026
WH004,SKU10151,669,203,12/13/2024
WH003,SKU10117,848,297,01/28/2026
WH002,SKU10266,467,299,04/01/2024
WH001,SKU10159,159,106,08/12/2026
WH007,SKU10340,730,209,09/09/2025
WH006,SKU10139,815,174,01/20/2026
WH003,SKU10351,582,78,01/27/2024
WH008,SKU10370,430,162,08/22/2026
