supplier_id,supplier_name,supplier_city
SUP1001,Prime Trading 1,Panabo
SUP1002,Global Supply 2,Manila
SUP1003,United Trading 3,Digos
SUP1004,Metro Supply 4,Davao City
SUP1005,EastWest Wholesale 5,Cagayan de Oro
SUP1006,EastWest Supply 6,Cagayan de Oro
SUP1007,Pacific Wholesale 7,Panabo
SUP1008,Prime Wholesale 8,Davao City
SUP1009,EastWest Wholesale 9,General Santos
SUP1010,Metro Supply 10,Manila
SUP1011,United Wholesale 11,Quezon City
SUP1012,Global Supply 12,Panabo
SUP1013,Prime Trading 13,General Santos
SUP1014,Metro Wholesale 14,Iloilo
SUP1015,Pacific Supply 15,Digos
SUP1016,Prime Wholesale 16,General Santos
SUP1017,Global Distribution 17,Cebu City
SUP1018,Pacific Distribution 18,General Santos
SUP1019,EastWest Wholesale 19,Quezon City
SUP1020,Metro Supply 20,Digos
SUP1021,EastWest Distribution 21,General Santos
SUP1022,Global Wholesale 22,Cagayan de Oro
SUP1023,EastWest Supply 23,Manila
SUP1024,Pacific Trading 24,Digos
SUP1025,Pacific Supply 25,Panabo
SUP1026,Global Trading 26,Digos
SUP1027,United Distribution 27,Panabo
SUP1028,Prime Trading 28,Tagum
SUP1029,Global Trading 29,Quezon City
SUP1030,Prime Wholesale 30,Digos
SUP1031,EastWest Trading 31,Panabo
SUP1032,United Wholesale 32,Quezon City
SUP1033,Pacific Supply 33,Manila
SUP1034,Metro Trading 34,Panabo
SUP1035,United Wholesale 35,Digos
SUP1036,Prime Trading 36,Quezon City
SUP1037,Metro Supply 37,Panabo
SUP1038,EastWest Wholesale 38,Quezon City
SUP1039,United Wholesale 39,Cebu City
SUP1040,United Distribution 40,Cebu City
SUP1041,Pacific Wholesale 41,Cagayan de Oro
SUP1042,Prime Wholesale 42,Davao City
SUP1043,United Distribution 43,Quezon City
SUP1044,Prime Supply 44,Cagayan de Oro
SUP1045,EastWest Distribution 45,Tagum
SUP1046,Metro Distribution 46,Quezon City
SUP1047,Pacific Distribution 47,Panabo
SUP1048,Metro Trading 48,Digos
SUP1049,United Supply 49,Cebu City
SUP1050,Global Trading 50,Panabo
SUP1051,Prime Trading 51,Davao City
SUP1052,Pacific Distribution 52,Digos
SUP1053,EastWest Trading 53,Cebu City
SUP1054,Prime Supply 54,General Santos
SUP1055,Global Supply 55,Manila
SUP1056,Prime Trading 56,Davao City
SUP1057,EastWest Trading 57,Panabo
SUP1058,Metro Trading 58,Panabo
SUP1059,Prime Supply 59,Davao City
SUP1060,Pacific Distribution 60,Cebu City
SUP1061,United Supply 61,Panabo
SUP1062,Global Supply 62,General Santos
SUP1063,United Distribution 63,Iloilo
SUP1064,Global Trading 64,Panabo
SUP1065,EastWest Distribution 65,Tagum
SUP1066,United Distribution 66,Iloilo
SUP1067,United Distribution 67,Digos
SUP1068,Prime Wholesale 68,Panabo
SUP1069,United Trading 69,Manila
SUP1070,Prime Distribution 70,Tagum
SUP1071,Global Wholesale 71,Digos
SUP1072,EastWest Wholesale 72,Tagum
SUP1073,EastWest Distribution 73,Quezon City
SUP1074,Prime Supply 74,Panabo
SUP1075,United Trading 75,Cagayan de Oro
SUP1076,United Wholesale 76,Cagayan de Oro
SUP1077,EastWest Supply 77,General Santos
SUP1078,Metro Distribution 78,Davao City
SUP1079,Prime Distribution 79,Panabo
SUP1080,United Distribution 80,Quezon City
